lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Skaha Lake,2,AUGUST,30,0.05,0.23,0.02,ND,1.4
Skaha Lake,2,AUGUST,48,0.06,0.08,0.04,ND,1.4
Skaha Lake,2,OCTOBER,1,<0.01,0.43,<0.005,0.06,2.8
Skaha Lake,2,OCTOBER,10,<0.01,0.36,<0.005,0.05,2.7
Skaha Lake,2,OCTOBER,20,0.09,0.18,0.08,0.09,2.0
Skaha Lake,2,OCTOBER,30,0.09,0.16,0.10,0.11,1.5
Skaha Lake,2,OCTOBER,48,0.17,0.16,0.21,0.22,2.1
Skaha Lake,4,APRIL,1,<0.01,0.38,0.01,0.05,0.3
Skaha Lake,4,APRIL,5,<0.01,0.02,0.01,0.05,0.2
Skaha Lake,4,APRIL,10,<0.01,0.26,0.02,0.05,0.2
Skaha Lake,4,APRIL,25,<0.01,0.20,0.02,0.08,0.2
Skaha Lake,4,APRIL,48,<0.01,0.28,0.02,0.07,0.3
Skaha Lake,4,JUNE,1,0.01,0.10,0.20,0.29,2.3
Skaha Lake,4,JUNE,5,<0.01,0.20,0.01,0.08,2.4
Skaha Lake,4,JUNE,10,0.01,0.21,0.01,0.07,2.6
Skaha Lake,4,JUNE,15,0.01,0.13,3.03,0.07,1.3
Skaha Lake,4,JUNE,20,0.01,0.20,0.04,0.07,0.8
Skaha Lake,4,JUNE,30,0.01,0.07,0.06,0.10,0.6
Skaha Lake,4,JUNE,44,0.01,0.59,0.07,0.11,0.6
Skaha Lake,4,AUGUST,1,<0.01,0.13,0.25,ND,2.7
Skaha Lake,4,AUGUST,5,0.01,0.33,<0.01,ND,2.7
Skaha Lake,4,AUGUST,15,0.05,0.11,0.03,ND,2.0
Skaha Lake,4,AUGUST,30,0.12,0.38,0.15,ND,1.4
Skaha Lake,4,AUGUST,48,0.06,0.11,0.05,ND,1.8
Skaha Lake,4,OCTOBER,1,<0.01,0.46,<0.005,0.06,2.8
Skaha Lake,4,OCTOBER,10,<0.01,0.20,<0.005,0.04,2.8
Skaha Lake,4,OCTOBER,20,0.07,1.31,0.09,0.10,2.1
Skaha Lake,4,OCTOBER,30,0.14,0.07,0.16,0.17,2.1
Skaha Lake,4,OCTOBER,44,0.13,0.10,0.21,0.24,2.3
Skaha Lake,6,APRIL,1,<0.01,0.28,0.02,0.05,0.2
Skaha Lake,6,APRIL,5,<0.01,0.28,0.02,0.07,0.2
Skaha Lake,6,APRIL,10,<0.01,0.18,0.02,0.05,0.2
Skaha Lake,6,APRIL,25,<0.01,0.21,0.02,0.07,0.2
Skaha Lake,6,APRIL,37,<0.01,0.28,0.02,0.09,0.2
Skaha Lake,6,JUNE,1,<0.01,<0.01,0.14,0.21,2.3
Skaha Lake,6,JUNE,5,<0.01,0.13,0.01,0.06,2.3
Skaha Lake,6,JUNE,10,0.01,0.13,0.02,0.07,2.1
Skaha Lake,6,JUNE,15,<0.01,0.46,0.04,0.08,1.3
Skaha Lake,6,JUNE,20,<0.01,0.69,0.06,0.11,0.7
Skaha Lake,6,JUNE,30,0.01,0.56,0.06,0.11,0.6
Skaha Lake,6,JUNE,38,0.01,0.69,0.07,0.13,0.6
Skaha Lake,6,AUGUST,1,<0.01,0.05,0.12,ND,2.6
Skaha Lake,6,AUGUST,5,<0.01,0.20,0.05,0.11,2.6
Skaha Lake,6,AUGUST,10,0.01,0.10,<0.01,0.05,2.4
Skaha Lake,6,AUGUST,25,0.11,<0.01,0.11,0.15,1.7
Skaha Lake,6,AUGUST,38,0.11,0.05,0.13,0.19,1.6
Skaha Lake,6,OCTOBER,1,<0.01,0.75,<0.005,0.10,2.8
Skaha Lake,6,OCTOBER,15,<0.01,0.16,<0.005,0.04,2.8
Skaha Lake,6,OCTOBER,18,0.01,0.26,0.06,0.10,2.1
Skaha Lake,6,OCTOBER,30,0.16,0.30,0.16,0.21,2.8
Skaha Lake,6,OCTOBER,39,0.14,0.36,0.26,0.32,3.1
