lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Okanagan Lake,13,AUGUST,5,<0.01,0.13,<0.01,0.02,4.4
Okanagan Lake,13,AUGUST,10,<0.01,0.08,<0.01,0.02,4.3
Okanagan Lake,13,AUGUST,25,<0.01,0.70,<0.01,0.02,4.6
Okanagan Lake,13,AUGUST,50,0.02,0.13,<0.01,0.02,4.8
Okanagan Lake,13,AUGUST,100,0.04,<0.01,0.01,0.02,4.8
Okanagan Lake,13,AUGUST,190,0.06,0.62,0.02,0.03,5.6
Okanagan Lake,13,OCTOBER,1,<0.01,0.26,0.009,0.04,4.4
Okanagan Lake,13,OCTOBER,5,<0.01,0.10,<0.005,0.03,4.6
Okanagan Lake,13,OCTOBER,10,<0.01,0.08,<0.005,0.02,4.4
Okanagan Lake,13,OCTOBER,25,<0.01,0.30,<0.005,0.03,4.5
Okanagan Lake,13,OCTOBER,50,0.02,0.39,<0.005,0.02,4.8
Okanagan Lake,13,OCTOBER,100,0.03,0.11,<0.005,0.01,5.0
Okanagan Lake,13,OCTOBER,220,0.05,0.13,0.02,0.03,6.0
Okanagan Lake,17,APRIL,1,<0.01,0.13,0.01,0.05,5.4
Okanagan Lake,17,APRIL,5,<0.01,0.18,<0.01,0.03,4.8
Okanagan Lake,17,APRIL,10,<0.01,0.20,<0.01,0.03,4.8
Okanagan Lake,17,APRIL,15,<0.01,0.24,<0.01,0.05,4.9
Okanagan Lake,17,JUNE,1,<0.01,0.20,0.14,0.22,4.7
Okanagan Lake,17,JUNE,5,<0.01,0.07,<0.01,0.04,4.7
Okanagan Lake,17,JUNE,10,<0.01,0.13,<0.01,0.03,4.5
Okanagan Lake,17,JUNE,15,<0.01,0.13,<0.01,0.03,4.4
Okanagan Lake,17,AUGUST,1,<0.01,<0.01,<0.01,0.02,4.0
Okanagan Lake,17,AUGUST,5,<0.01,<0.01,<0.01,0.03,4.0
Okanagan Lake,17,AUGUST,10,<0.01,0.02,<0.01,0.02,4.1
Okanagan Lake,17,AUGUST,14,<0.01,0.13,<0.01,0.03,5.2
Okanagan Lake,17,OCTOBER,1,<0.01,0.23,<0.005,0.02,5.9
Okanagan Lake,17,OCTOBER,5,<0.01,0.31,<0.005,0.02,4.5
Okanagan Lake,17,OCTOBER,10,0.01,0.11,<0.005,0.03,4.7
Okanagan Lake,17,OCTOBER,15,<0.01,0.11,<0.005,0.04,4.9
Okanagan Lake,18,APRIL,1,0.01,0.16,0.02,0.05,4.8
Okanagan Lake,18,APRIL,5,<0.01,0.01,0.01,0.03,4.8
Okanagan Lake,18,APRIL,10,<0.01,0.15,0.01,0.03,4.8
Okanagan Lake,18,APRIL,20,<0.01,0.10,<0.01,0.03,5.0
Okanagan Lake,18,JUNE,1,<0.01,0.23,<0.01,0.02,3.2
Okanagan Lake,18,JUNE,5,<0.01,0.11,<0.01,0.03,4.3
Okanagan Lake,18,JUNE,10,<0.01,0.15,<0.01,0.03,4.2
Okanagan Lake,18,JUNE,20,<0.01,<0.01,<0.01,0.03,4.2
Okanagan Lake,18,AUGUST,1,<0.01,0.11,<0.01,0.02,4.5
Okanagan Lake,18,AUGUST,10,<0.01,0.15,<0.01,0.02,4.4
Okanagan Lake,18,AUGUST,15,<0.01,0.08,<0.01,0.03,4.7
Okanagan Lake,18,AUGUST,19,<0.01,0.11,0.01,0.04,5.4
Okanagan Lake,18,OCTOBER,1,<0.01,0.10,<0.005,0.02,4.5
Okanagan Lake,18,OCTOBER,5,<0.01,0.11,<0.005,0.02,4.5
Okanagan Lake,18,OCTOBER,10,<0.01,0.54,<0.005,0.02,4.5
Okanagan Lake,18,OCTOBER,19,<0.01,0.13,<0.005,0.02,4.5
