lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Okanagan Lake,4,APRIL,25,<0.01,0.16,<0.01,0.03,4.3
Okanagan Lake,4,APRIL,50,<0.01,0.69,<0.01,0.03,4.1
Okanagan Lake,4,APRIL,100,0.01,0.16,0.01,0.03,4.4
Okanagan Lake,4,APRIL,123,0.01,0.28,0.01,0.05,4.5
Okanagan Lake,4,JUNE,1,0.01,0.30,0.11,0.13,4.0
Okanagan Lake,4,JUNE,5,<0.01,0.23,0.01,0.02,4.1
Okanagan Lake,4,JUNE,10,<0.01,0.30,0.01,0.02,4.0
Okanagan Lake,4,JUNE,25,0.01,0.41,0.01,0.02,4.0
Okanagan Lake,4,JUNE,50,0.01,0.20,0.03,0.02,4.2
Okanagan Lake,4,JUNE,100,0.02,0.34,<0.01,0.02,4.2
Okanagan Lake,4,JUNE,124,0.02,0.11,0.08,0.02,4.4
Okanagan Lake,4,AUGUST,1,<0.01,0.10,<0.01,0.01,4.2
Okanagan Lake,4,AUGUST,5,<0.01,0.0,<0.01,0.01,4.2
Okanagan Lake,4,AUGUST,10,<0.01,0.02,<0.01,0.01,4.2
Okanagan Lake,4,AUGUST,25,<0.01,0.11,<0.01,0.02,4.4
Okanagan Lake,4,AUGUST,50,0.02,0.46,<0.01,0.01,4.6
Okanagan Lake,4,AUGUST,100,0.04,0.30,<0.01,0.01,4.7
Okanagan Lake,4,AUGUST,133,0.06,0.36,<0.01,0.05,7.0
Okanagan Lake,4,OCTOBER,1,<0.01,<0.01,<0.005,0.01,4.4
Okanagan Lake,4,OCTOBER,5,0.01,<0.01,<0.005,0.01,4.9
Okanagan Lake,4,OCTOBER,10,<0.01,0.46,<0.005,0.02,4.4
Okanagan Lake,4,OCTOBER,25,0.01,<0.01,<0.005,0.01,4.7
Okanagan Lake,4,OCTOBER,50,0.02,<0.01,<0.005,0.02,4.9
Okanagan Lake,4,OCTOBER,100,0.02,<0.01,<0.005,0.02,4.9
Okanagan Lake,4,OCTOBER,133,0.02,<0.01,<0.005,0.02,4.9
Okanagan Lake,8,APRIL,1,0.01,0.20,<0.01,0.03,4.3
Okanagan Lake,8,APRIL,5,<0.01,0.21,<0.01,0.04,4.2
Okanagan Lake,8,APRIL,10,<0.01,0.15,<0.01,0.03,4.3
Okanagan Lake,8,APRIL,25,<0.01,0.28,<0.01,0.03,4.3
Okanagan Lake,8,APRIL,50,0.01,0.18,<0.01,0.03,4.4
Okanagan Lake,8,JUNE,1,0.01,0.08,0.10,0.10,4.0
Okanagan Lake,8,JUNE,5,<0.01,0.28,0.09,0.10,4.0
Okanagan Lake,8,JUNE,10,<0.01,0.08,<0.01,0.03,4.0
Okanagan Lake,8,JUNE,25,0.01,0.0,0.14,0.19,4.3
Okanagan Lake,8,JUNE,50,0.01,0.08,<0.01,0.02,4.2
Okanagan Lake,8,JUNE,68,0.01,0.25,<0.01,0.02,4.2
Okanagan Lake,8,AUGUST,1,<0.01,0.29,<0.01,0.01,4.1
Okanagan Lake,8,AUGUST,5,<0.01,0.16,<0.01,0.02,4.1
Okanagan Lake,8,AUGUST,10,<0.01,0.25,<0.01,0.02,4.2
Okanagan Lake,8,AUGUST,25,<0.01,0.25,<0.01,0.02,4.4
Okanagan Lake,8,AUGUST,50,0.02,0.23,<0.01,0.01,4.5
Okanagan Lake,8,AUGUST,75,0.04,0.43,<0.01,0.02,4.6
Okanagan Lake,8,OCTOBER,1,<0.01,<0.01,<0.005,0.02,4.2
Okanagan Lake,8,OCTOBER,5,<0.01,<0.01,<0.005,0.02,4.2
Okanagan Lake,8,OCTOBER,10,<0.01,0.07,<0.005,0.02,4.2
Okanagan Lake,8,OCTOBER,20,<0.01,0.13,<0.005,0.02,4.3
Okanagan Lake,8,OCTOBER,25,<0.01,0.13,<0.005,0.02,4.4
Okanagan Lake,8,OCTOBER,48,0.02,0.03,<0.005,0.02,4.9
