lake,station,season,sample_date_1971,depth_m,HCO3,SO4,Cl,F
Wood Lake,2,JUNE,1971-06-16,5,168,31.7,2.2,0.30
Wood Lake,2,JUNE,1971-06-16,10,179,31.7,2.2,0.30
Wood Lake,2,JUNE,1971-06-16,15,193,31.4,2.6,0.30
Wood Lake,2,JUNE,1971-06-16,20,194,31.7,2.3,0.30
Wood Lake,2,JUNE,1971-06-16,28,198,30.6,2.4,0.30
Wood Lake,2,AUGUST,1971-08-16,1,126,31.7,2.6,0.35
Wood Lake,2,AUGUST,1971-08-16,5,126,31.7,2.6,0.34
Wood Lake,2,AUGUST,1971-08-16,10,162,29.7,2.6,0.34
Wood Lake,2,AUGUST,1971-08-16,15,195,31.0,2.6,0.35
Wood Lake,2,AUGUST,1971-08-16,25,199,29.0,2.6,0.35
Wood Lake,2,AUGUST,1971-08-16,20,199,29.7,2.6,0.35
Wood Lake,2,OCTOBER,1971-10-14,1,149,20.7,2.6,0.31
Wood Lake,2,OCTOBER,1971-10-14,10,154,30.7,2.6,0.31
Wood Lake,2,OCTOBER,1971-10-14,15,190,29.4,2.6,0.32
Wood Lake,2,OCTOBER,1971-10-14,20,204,29.2,2.6,0.32
Wood Lake,2,OCTOBER,1971-10-14,29,207,30.7,2.6,0.33
Wood Lake,4,APRIL,1971-04-13,1,190,30.1,2.7,0.32
Wood Lake,4,APRIL,1971-04-13,5,188,31.2,2.7,0.32
Wood Lake,4,APRIL,1971-04-13,10,189,30.9,2.7,0.32
Wood Lake,4,APRIL,1971-04-13,15,190,29.9,2.7,0.32
Wood Lake,4,JUNE,1971-06-16,1,166,31.2,2.4,0.30
Wood Lake,4,JUNE,1971-06-16,5,171,31.5,2.2,0.30
Wood Lake,4,JUNE,1971-06-16,10,181,31.4,2.2,0.30
Wood Lake,4,JUNE,1971-06-16,15,194,31.1,2.3,0.30
Wood Lake,4,AUGUST,1971-08-16,1,124,31.3,2.7,0.30
Wood Lake,4,AUGUST,1971-08-16,5,127,30.3,2.6,0.30
Wood Lake,4,AUGUST,1971-08-16,10,174,30.3,2.6,0.30
Wood Lake,4,AUGUST,1971-08-16,17,196,29.3,2.4,0.31
Wood Lake,4,OCTOBER,1971-10-14,1,148,30.7,2.6,0.32
Wood Lake,4,OCTOBER,1971-10-14,10,150,29.6,2.6,0.32
Wood Lake,4,OCTOBER,1971-10-14,15,179,30.2,2.6,0.32
Wood Lake,4,OCTOBER,1971-10-14,18,190,29.1,2.6,0.32
Okanagan Lake,10,APRIL,1971-04-20,1,134,26.0,1.1,0.17
Okanagan Lake,10,APRIL,1971-04-20,5,133,26.1,1.0,0.16
Okanagan Lake,10,APRIL,1971-04-20,10,133,26.3,1.0,0.16
Okanagan Lake,10,APRIL,1971-04-20,25,133,26.5,1.0,0.17
Okanagan Lake,10,APRIL,1971-04-20,50,133,26.8,1.1,0.17
Okanagan Lake,10,APRIL,1971-04-20,59,133,26.8,1.3,0.17
Okanagan Lake,10,JUNE,1971-06-20,1,129,26.6,1.1,0.17
Okanagan Lake,10,JUNE,1971-06-20,5,129,26.3,1.1,0.16
Okanagan Lake,10,JUNE,1971-06-20,10,129,26.3,1.1,0.17
Okanagan Lake,10,JUNE,1971-06-20,25,133,27.1,1.1,0.18
Okanagan Lake,10,JUNE,1971-06-20,50,134,26.8,1.1,0.18
Okanagan Lake,10,JUNE,1971-06-20,62,134,27.3,1.1,0.17
Okanagan Lake,10,AUGUST,1971-08-20,1,129,25.6,1.1,0.15
Okanagan Lake,10,AUGUST,1971-08-20,5,128,26.1,1.2,0.16
Okanagan Lake,10,AUGUST,1971-08-20,10,132,26.4,1.2,0.16
Okanagan Lake,10,AUGUST,1971-08-20,25,134,26.4,1.2,0.18
Okanagan Lake,10,AUGUST,1971-08-20,50,134,26.3,1.1,0.17
Okanagan Lake,10,AUGUST,1971-08-20,58,134,26.6,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,1,129,26.9,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,5,129,27.0,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,15,132,27.6,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,25,133,27.7,1.1,0.17
Okanagan Lake,10,OCTOBER,1971-10-19,53,134,28.4,1.1,0.17
Okanagan Lake,11,APRIL,1971-04-20,1,133,26.8,1.1,0.17
Okanagan Lake,11,APRIL,1971-04-20,5,133,26.8,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,10,134,26.5,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,25,134,27.1,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,50,133,27.1,1.0,0.17
Okanagan Lake,11,APRIL,1971-04-20,100,133,27.7,1.0,0.16
Okanagan Lake,11,APRIL,1971-04-20,180,133,27.6,1.0,0.17
Okanagan Lake,11,JUNE,1971-06-20,1,131,26.6,1.1,0.16
Okanagan Lake,11,JUNE,1971-06-20,5,128,27.6,1.1,0.16
Okanagan Lake,11,JUNE,1971-06-20,10,127,26.8,1.1,0.15
Okanagan Lake,11,JUNE,1971-06-20,25,133,28.0,1.1,0.16
Okanagan Lake,11,JUNE,1971-06-20,50,133,26.6,1.2,ND
Okanagan Lake,11,JUNE,1971-06-20,100,137,27.5,1.2,0.16
Okanagan Lake,11,JUNE,1971-06-20,182,137,27.8,1.2,0.17
Okanagan Lake,11,AUGUST,1971-08-20,1,127,26.4,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,5,128,26.2,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,10,131,25.9,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,25,134,26.5,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,50,134,26.7,1.2,0.16
Okanagan Lake,11,AUGUST,1971-08-20,100,134,26.4,1.1,0.16
Okanagan Lake,11,AUGUST,1971-08-20,168,134,26.0,1.1,0.16
Okanagan Lake,11,OCTOBER,1971-10-19,1,129,27.4,1.1,0.17
Okanagan Lake,11,OCTOBER,1971-10-19,5,129,27.4,1.1,0.16
Okanagan Lake,11,OCTOBER,1971-10-19,10,129,27.6,1.1,0.17
Okanagan Lake,11,OCTOBER,1971-10-19,25,132,27.2,1.1,0.17
Okanagan Lake,11,OCTOBER,1971-10-19,50,133,27.6,1.1,0.17
Okanagan Lake,11,OCTOBER,1971-10-19,100,134,28.2,1.1,0.17
Okanagan Lake,11,OCTOBER,1971-10-19,152,134,27.7,1.1,0.17
Okanagan Lake,13,APRIL,1971-04-20,1,134,27.6,1.0,0.17
Okanagan Lake,13,APRIL,1971-04-20,5,133,27.4,1.0,0.17
Okanagan Lake,13,APRIL,1971-04-20,10,134,27.6,1.0,0.16
Okanagan Lake,13,APRIL,1971-04-20,25,133,27.9,1.0,0.16
Okanagan Lake,13,APRIL,1971-04-20,50,133,27.7,1.0,0.16
Okanagan Lake,13,APRIL,1971-04-20,100,132,27.7,1.0,0.17
Okanagan Lake,13,APRIL,1971-04-20,219,133,27.3,1.0,0.17
Okanagan Lake,13,JUNE,1971-06-20,1,129,26.8,1.2,0.17
Okanagan Lake,13,JUNE,1971-06-20,5,129,27.5,1.2,0.16
Okanagan Lake,13,JUNE,1971-06-20,10,130,26.7,1.1,0.17
Okanagan Lake,13,JUNE,1971-06-20,25,134,27.1,1.1,0.17
Okanagan Lake,13,JUNE,1971-06-20,50,135,27.1,1.1,0.17
Okanagan Lake,13,JUNE,1971-06-20,100,137,27.6,1.1,0.17
Okanagan Lake,13,JUNE,1971-06-20,210,137,27.6,1.1,0.17
Okanagan Lake,13,AUGUST,1971-08-20,1,127,26.2,1.1,0.16
Okanagan Lake,13,AUGUST,1971-08-20,5,127,25.7,1.1,0.16
Okanagan Lake,13,AUGUST,1971-08-20,10,127,26.0,1.0,0.16
Okanagan Lake,13,AUGUST,1971-08-20,25,133,24.9,1.1,0.17
Okanagan Lake,13,AUGUST,1971-08-20,50,133,26.7,1.1,0.16
Okanagan Lake,13,AUGUST,1971-08-20,100,137,26.5,1.1,0.16
Okanagan Lake,13,AUGUST,1971-08-20,190,136,26.9,1.2,0.17
Okanagan Lake,13,OCTOBER,1971-10-19,1,129,27.4,1.2,0.17
Okanagan Lake,13,OCTOBER,1971-10-19,5,129,27.4,1.1,0.17
Okanagan Lake,13,OCTOBER,1971-10-19,10,129,27.4,1.1,0.18
Okanagan Lake,13,OCTOBER,1971-10-19,25,133,27.6,1.1,0.18
Okanagan Lake,13,OCTOBER,1971-10-19,50,133,27.2,1.1,0.18
Okanagan Lake,13,OCTOBER,1971-10-19,100,135,27.6,1.1,0.17
Okanagan Lake,13,OCTOBER,1971-10-19,220,135,27.6,1.1,0.17
Okanagan Lake,17,APRIL,1971-04-20,1,139,29.2,1.0,0.16
Okanagan Lake,17,APRIL,1971-04-20,5,134,30.2,1.2,0.16
Okanagan Lake,17,APRIL,1971-04-20,10,133,28.2,1.2,0.16
Okanagan Lake,17,APRIL,1971-04-20,15,133,27.9,1.0,0.16
Okanagan Lake,17,JUNE,1971-06-20,1,132,29.2,1.2,0.17
Okanagan Lake,17,JUNE,1971-06-20,5,134,28.5,1.1,0.17
Okanagan Lake,17,JUNE,1971-06-20,10,132,27.1,1.2,0.17
Okanagan Lake,17,JUNE,1971-06-20,15,133,27.0,1.1,0.17
Okanagan Lake,17,AUGUST,1971-08-20,1,133,26.5,1.1,0.16
Okanagan Lake,17,AUGUST,1971-08-20,5,128,26.5,1.1,0.17
Okanagan Lake,17,AUGUST,1971-08-20,10,126,27.4,1.0,0.16
Okanagan Lake,17,AUGUST,1971-08-20,14,134,26.9,1.0,0.16
Okanagan Lake,17,OCTOBER,1971-10-19,1,129,27.0,1.1,0.17
Okanagan Lake,17,OCTOBER,1971-10-19,5,129,27.9,1.1,0.18
Okanagan Lake,17,OCTOBER,1971-10-19,10,128,27.6,1.1,0.17
Okanagan Lake,17,OCTOBER,1971-10-19,15,134,28.1,1.1,0.17
Okanagan Lake,18,APRIL,1971-04-20,1,134,28.9,1.1,0.17
Okanagan Lake,18,APRIL,1971-04-20,5,133,28.7,1.1,0.16
Okanagan Lake,18,APRIL,1971-04-20,10,134,28.7,1.1,0.16
Okanagan Lake,18,APRIL,1971-04-20,20,134,27.6,1.1,0.16
Okanagan Lake,18,JUNE,1971-06-20,1,132,27.1,1.1,0.16
Okanagan Lake,18,JUNE,1971-06-20,5,129,26.7,1.1,0.16
Okanagan Lake,18,JUNE,1971-06-20,10,132,27.5,1.1,0.16
Okanagan Lake,18,JUNE,1971-06-20,20,133,27.5,1.2,0.16
Okanagan Lake,18,AUGUST,1971-08-20,1,123,26.0,1.0,0.17
Okanagan Lake,18,AUGUST,1971-08-20,10,126,26.9,1.0,0.17
Okanagan Lake,18,AUGUST,1971-08-20,15,132,26.4,0.9,0.16
Okanagan Lake,18,AUGUST,1971-08-20,19,134,26.4,1.1,0.16
Okanagan Lake,18,OCTOBER,1971-10-19,1,128,27.6,1.1,0.17
Okanagan Lake,18,OCTOBER,1971-10-19,5,128,27.6,1.1,0.17
Okanagan Lake,18,OCTOBER,1971-10-19,10,126,28.2,1.1,0.17
Okanagan Lake,18,OCTOBER,1971-10-19,19,129,27.4,1.1,0.17
Okanagan Lake,1,APRIL,1971-04-18,1,139,27.5,1.2,0.17
Okanagan Lake,1,APRIL,1971-04-18,5,132,27.6,1.2,0.17
Okanagan Lake,1,APRIL,1971-04-18,10,137,27.6,1.2,0.17
Okanagan Lake,1,APRIL,1971-04-18,25,133,27.4,1.2,0.17
Okanagan Lake,1,APRIL,1971-04-18,50,134,28.0,1.3,0.17
Okanagan Lake,1,APRIL,1971-04-18,84,137,27.1,1.2,0.18
Okanagan Lake,1,JUNE,1971-06-19,1,132,26.5,1.2,0.18
Okanagan Lake,1,JUNE,1971-06-19,5,131,26.1,1.1,0.17
Okanagan Lake,1,JUNE,1971-06-19,10,128,25.6,1.1,0.15
Okanagan Lake,1,JUNE,1971-06-19,25,134,27.1,1.2,0.18
Okanagan Lake,1,JUNE,1971-06-19,50,134,27.4,1.1,0.18
Okanagan Lake,1,JUNE,1971-06-19,80,137,25.9,1.1,0.17
Okanagan Lake,1,AUGUST,1971-08-19,1,128,26.3,1.1,0.16
Okanagan Lake,1,AUGUST,1971-08-19,5,128,26.1,1.1,0.16
Okanagan Lake,1,AUGUST,1971-08-19,10,128,26.3,1.1,0.16
Okanagan Lake,1,AUGUST,1971-08-19,25,132,26.1,1.1,0.17
Okanagan Lake,1,AUGUST,1971-08-19,50,133,26.4,1.1,0.17
Okanagan Lake,1,AUGUST,1971-08-19,83,134,26.6,1.1,0.17
Okanagan Lake,1,OCTOBER,1971-10-19,1,133,26.8,1.2,0.16
Okanagan Lake,1,OCTOBER,1971-10-19,5,133,27.0,1.1,0.16
Okanagan Lake,1,OCTOBER,1971-10-19,10,133,27.3,1.2,0.16
Okanagan Lake,1,OCTOBER,1971-10-19,25,133,27.0,1.2,0.16
Okanagan Lake,1,OCTOBER,1971-10-19,50,133,27.0,1.2,0.17
Okanagan Lake,1,OCTOBER,1971-10-19,80,133,27.0,1.2,0.17
Okanagan Lake,4,APRIL,1971-04-18,1,131,26.9,1.2,0.17
Okanagan Lake,4,APRIL,1971-04-18,5,133,27.2,1.0,0.17
Okanagan Lake,4,APRIL,1971-04-18,10,134,28.0,1.0,0.17
Okanagan Lake,4,APRIL,1971-04-18,25,134,27.5,1.0,0.17
Okanagan Lake,4,APRIL,1971-04-18,50,131,27.4,1.0,0.17
Okanagan Lake,4,APRIL,1971-04-18,100,134,27.6,1.0,0.17
Okanagan Lake,4,APRIL,1971-04-18,123,133,29.4,1.0,0.17
Okanagan Lake,4,JUNE,1971-06-19,1,129,25.8,1.2,0.18
Okanagan Lake,4,JUNE,1971-06-19,5,131,26.1,1.1,0.18
Okanagan Lake,4,JUNE,1971-06-19,10,132,25.7,1.1,0.18
Okanagan Lake,4,JUNE,1971-06-19,25,134,27.0,1.1,0.18
Okanagan Lake,4,JUNE,1971-06-19,50,135,27.6,1.1,0.18
Okanagan Lake,4,JUNE,1971-06-19,100,137,27.0,1.1,0.18
Okanagan Lake,4,JUNE,1971-06-19,124,137,28.4,1.2,0.17
Okanagan Lake,4,AUGUST,1971-08-19,1,127,26.3,1.1,0.17
Okanagan Lake,4,AUGUST,1971-08-19,5,128,26.3,1.1,0.17
Okanagan Lake,4,AUGUST,1971-08-19,10,128,26.1,1.1,0.16
Okanagan Lake,4,AUGUST,1971-08-19,25,132,26.4,1.1,0.16
Okanagan Lake,4,AUGUST,1971-08-19,50,134,26.6,1.1,0.16
Okanagan Lake,4,AUGUST,1971-08-19,100,134,27.1,1.1,0.15
Okanagan Lake,4,AUGUST,1971-08-19,133,134,26.4,1.1,0.16
Okanagan Lake,4,OCTOBER,1971-10-19,1,129,27.0,1.2,0.16
Okanagan Lake,4,OCTOBER,1971-10-19,5,129,27.0,1.2,0.16
Okanagan Lake,4,OCTOBER,1971-10-19,10,129,26.8,1.2,0.16
Okanagan Lake,4,OCTOBER,1971-10-19,25,132,27.0,1.2,0.16
Okanagan Lake,4,OCTOBER,1971-10-19,50,133,27.0,1.1,0.17
Okanagan Lake,4,OCTOBER,1971-10-19,100,133,27.0,1.1,0.17
Okanagan Lake,4,OCTOBER,1971-10-19,133,134,27.3,1.1,0.16
Okanagan Lake,8,APRIL,1971-04-18,1,133,26.9,1.1,0.17
Okanagan Lake,8,APRIL,1971-04-18,5,135,27.4,1.0,0.17
Okanagan Lake,8,APRIL,1971-04-18,10,133,27.7,1.0,0.17
Okanagan Lake,8,APRIL,1971-04-18,25,133,27.7,1.0,0.17
Okanagan Lake,8,APRIL,1971-04-18,50,133,27.6,1.0,0.17
Okanagan Lake,8,JUNE,1971-06-19,1,128,26.8,1.2,0.16
Okanagan Lake,8,JUNE,1971-06-19,5,129,25.7,1.3,0.17
Okanagan Lake,8,JUNE,1971-06-19,10,129,25.7,1.1,0.17
Okanagan Lake,8,JUNE,1971-06-19,25,132,27.0,1.1,0.18
Okanagan Lake,8,JUNE,1971-06-19,50,134,27.0,1.1,0.18
Okanagan Lake,8,JUNE,1971-06-19,68,134,27.6,0.1,0.18
Okanagan Lake,8,AUGUST,1971-08-19,1,128,26.3,1.1,0.16
Okanagan Lake,8,AUGUST,1971-08-19,5,128,26.1,1.1,0.15
Okanagan Lake,8,AUGUST,1971-08-19,10,128,26.1,1.1,0.15
Okanagan Lake,8,AUGUST,1971-08-19,25,132,26.1,1.1,0.15
Okanagan Lake,8,AUGUST,1971-08-19,50,133,26.4,1.1,0.16
Okanagan Lake,8,AUGUST,1971-08-19,75,134,26.3,1.1,0.16
Okanagan Lake,8,OCTOBER,1971-10-19,1,129,26.8,1.1,0.16
Okanagan Lake,8,OCTOBER,1971-10-19,5,128,26.8,1.1,0.16
Okanagan Lake,8,OCTOBER,1971-10-19,10,128,27.0,1.1,0.17
Okanagan Lake,8,OCTOBER,1971-10-19,20,ND,26.8,1.1,0.17
Okanagan Lake,8,OCTOBER,1971-10-19,35,131,26.7,1.1,0.17
Okanagan Lake,8,OCTOBER,1971-10-19,48,134,27.2,1.1,0.17
Skaha Lake,1,APRIL,1971-04-18,1,140,28.7,1.4,0.17
Skaha Lake,1,APRIL,1971-04-18,5,133,28.1,1.4,0.18
Skaha Lake,1,APRIL,1971-04-18,10,138,28.4,1.5,0.18
Skaha Lake,1,JUNE,1971-06-23,1,128,25.5,1.1,0.17
Skaha Lake,1,JUNE,1971-06-23,5,126,25.5,1.2,0.17
Skaha Lake,1,JUNE,1971-06-23,10,126,25.1,1.1,0.17
Skaha Lake,1,AUGUST,1971-08-18,1,117,26.9,1.3,0.19
Skaha Lake,1,AUGUST,1971-08-18,5,124,27.9,1.3,0.19
Skaha Lake,1,AUGUST,1971-08-18,10,118,28.1,1.3,0.19
Skaha Lake,1,OCTOBER,1971-10-18,1,121,27.8,1.4,0.18
Skaha Lake,1,OCTOBER,1971-10-18,5,121,28.0,1.4,0.18
Skaha Lake,1,OCTOBER,1971-10-18,10,127,27 8,1.4,0.18
Skaha Lake,2,APRIL,1971-04-18,1,132,28.1,1.4,0.18
Skaha Lake,2,APRIL,1971-04-18,5,132,28.7,1.4,0.18
Skaha Lake,2,APRIL,1971-04-18,10,134,28.2,1.4,0.18
Skaha Lake,2,APRIL,1971-04-18,25,134,28.2,1.4,0.18
Skaha Lake,2,APRIL,1971-04-18,47,134,27.4,1.4,0.19
Skaha Lake,2,JUNE,1971-06-23,1,124,25.3,1.5,0.16
Skaha Lake,2,JUNE,1971-06-23,5,126,25.3,1.1,0.16
Skaha Lake,2,JUNE,1971-06-23,10,124,25.3,1.1,0.16
Skaha Lake,2,JUNE,1971-06-23,15,135,27.7,1.2,0.17
Skaha Lake,2,JUNE,1971-06-23,20,137,27.7,1.2,0.18
Skaha Lake,2,JUNE,1971-06-23,30,139,28.0,1.3,0.18
Skaha Lake,2,JUNE,1971-06-23,44,142,28.7,1.1,0.18
Skaha Lake,2,AUGUST,1971-08-18,1,119,26.2,1.3,0.19
Skaha Lake,2,AUGUST,1971-08-18,5,119,26.9,1.3,0.19
Skaha Lake,2,AUGUST,1971-08-18,15,131,27.7,1.3,0.20
Skaha Lake,2,AUGUST,1971-08-18,30,129,30.0,1.3,0.20
Skaha Lake,2,AUGUST,1971-08-18,48,132,27.4,1.3,0.20
Skaha Lake,2,OCTOBER,1971-10-18,1,118,28.0,1.4,0.18
Skaha Lake,2,OCTOBER,1971-10-18,10,121,27.7,1.8,0.18
Skaha Lake,2,OCTOBER,1971-10-18,20,134,27.7,1.5,0.19
Skaha Lake,2,OCTOBER,1971-10-18,30,135,28.0,1.5,0.20
Skaha Lake,2,OCTOBER,1971-10-18,48,135,27.2,1.5,0.19
Skaha Lake,4,APRIL,1971-04-18,1,133,28.4,1.4,0.18
Skaha Lake,4,APRIL,1971-04-18,5,133,27.7,1.4,0.19
Skaha Lake,4,APRIL,1971-04-18,10,133,28.1,1.4,0.18
Skaha Lake,4,APRIL,1971-04-18,25,134,28.1,1.4,0.19
Skaha Lake,4,APRIL,1971-04-18,48,138,28.4,1.4,0.18
Skaha Lake,4,JUNE,1971-06-23,1,131,25.6,1.2,0.16
Skaha Lake,4,JUNE,1971-06-23,5,124,25.0,1.2,0.16
Skaha Lake,4,JUNE,1971-06-23,10,124,25.1,1.2,0.16
Skaha Lake,4,JUNE,1971-06-23,15,132,27.3,1.3,0.17
Skaha Lake,4,JUNE,1971-06-23,20,136,27.4,1.2,0.17
Skaha Lake,4,JUNE,1971-06-23,30,139,28.0,1.3,0.17
Skaha Lake,4,JUNE,1971-06-23,44,139,28.0,1.3,0.17
Skaha Lake,4,AUGUST,1971-08-18,1,119,27.1,1.3,0.19
Skaha Lake,4,AUGUST,1971-08-18,5,119,27.7,1.3,0.19
Skaha Lake,4,AUGUST,1971-08-18,15,132,27.7,1.4,0.20
Skaha Lake,4,AUGUST,1971-08-18,30,136,27.1,1.4,0.20
Skaha Lake,4,AUGUST,1971-08-18,45,133,27.4,1.4,0.20
Skaha Lake,4,OCTOBER,1971-10-18,1,118,28.0,1.4,0.18
Skaha Lake,4,OCTOBER,1971-10-18,10,121,27.3,1.4,0.18
Skaha Lake,4,OCTOBER,1971-10-18,20,134,27.5,1.4,0.19
Skaha Lake,4,OCTOBER,1971-10-18,30,135,28.0,1.5,0.19
Skaha Lake,4,OCTOBER,1971-10-18,44,135,27.2,1.5,0.19
Skaha Lake,5,APRIL,1971-04-18,1,133,27.1,1.4,0.18
Skaha Lake,5,APRIL,1971-04-18,5,133,28.7,1.4,0.18
Skaha Lake,5,APRIL,1971-04-18,10,133,27.1,1.4,0.18
Skaha Lake,5,APRIL,1971-04-18,25,133,21.9,1.4,0.18
Skaha Lake,5,APRIL,1971-04-18,37,138,20..5,1.4,0.18
Skaha Lake,5,JUNE,1971-06-23,1,127,25.9,1.4,0.13
Skaha Lake,5,JUNE,1971-06-23,5,127,26.1,1.1,0.15
Skaha Lake,5,JUNE,1971-06-23,10,128,25.9,1.1,0.15
Skaha Lake,5,JUNE,1971-06-23,15,136,26-7,1.3,0.17
Skaha Lake,5,JUNE,1971-06-23,20,137,27.3,1.2,0.17
