lake,station,season,depth_m,NO3,TKN,o-PO4,t-PO4,SiO2
Osoyoos Lake,6,JUNE,23,0.02,0.30,0.02,0.06,6.2
Osoyoos Lake,6,AUGUST,1,0.03,0.34,<0.01,ND,3.8
Osoyoos Lake,6,AUGUST,5,<0.01,0.33,<0.01,ND,3.8
Osoyoos Lake,6,AUGUST,10,0.03,0.16,<0.01,ND,4.6
Osoyoos Lake,6,AUGUST,15,<0.01,0.33,<0.01,ND,8.1
Osoyoos Lake,6,AUGUST,21,<0.01,0.56,0.03,ND,9.8
Osoyoos Lake,6,OCTOBER,1,<0.01,0.31,<0.005,0.05,4.4
Osoyoos Lake,6,OCTOBER,5,0.02,0.02,<0.005,0.05,4.4
Osoyoos Lake,6,OCTOBER,10,0.01,0.20,<0.005,0.06,4.4
Osoyoos Lake,6,OCTOBER,22,<0.01,0.26,<0.005,0.09,5.2
